Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","458","Malaysia","5112","Stocks","02151","Chickens","2022","2022","1000 An","299423","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5112","Stocks","02151","Chickens","2023","2023","1000 An","313102","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","2166","Coconut oil","2022","2022","t","54800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","458","Malaysia","5413","Yield","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","No/An","167","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5424","Yield/Carcass Weight","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","g/An","13000","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","t","15600","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5513","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","1000 No","200000","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5313","Laying","0232","Eggs from other birds in shell, fresh, n.e.c.","2022","2022","1000 An","1200","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5413","Yield","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","No/An","167","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5424","Yield/Carcass Weight","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","g/An","13000","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","t","15600","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5513","Production","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","1000 No","200000","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5313","Laying","0232","Eggs from other birds in shell, fresh, n.e.c.","2023","2023","1000 An","1200","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","2162","Groundnut oil","2022","2022","t","4092.81","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5413","Yield","0231","Hen eggs in shell, fresh","2022","2022","No/An","135","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2022","2022","g/An","8077","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","843474.18","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","14057903","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5313","Laying","0231","Hen eggs in shell, fresh","2022","2022","1000 An","104427","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5413","Yield","0231","Hen eggs in shell, fresh","2023","2023","No/An","151","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5424","Yield/Carcass Weight","0231","Hen eggs in shell, fresh","2023","2023","g/An","9074","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","0231","Hen eggs in shell, fresh","2023","2023","t","980290.54","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5513","Production","0231","Hen eggs in shell, fresh","2023","2023","1000 No","16338176","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5313","Laying","0231","Hen eggs in shell, fresh","2023","2023","1000 An","108034","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2022","2022","g/An","2576","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","1543425.32","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2022","2022","1000 An","599088","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2023","2023","g/An","2590","E","Estimated value",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","1564606.18","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2023","2023","1000 An","604060","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","21691.14","Oil of palm kernel","2022","2022","t","2096913","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","21691.07","Oil of sesame seed","2022","2022","t","4600.55","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","2165","Palm oil","2022","2022","t","18453420","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","21641.01","Rapeseed or canola oil, crude","2022","2022","t","21700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","458","Malaysia","5510","Production","2351f","Raw cane or beet sugar (centrifugal only)","2022","2022","t","2068.23","I","Value 
imputed by a
receiving 
agency",""
"QCL","Crops and livestock products","458","Malaysia","5510","Production","21631.01","Sunflower-seed oil, crude","2022","2022","t","1130.54","I","Value 
imputed by a
receiving 
agency",""
